id,division,district,highest_dispo_charge,last_event_result,number,highest_charge,highest_charge_mod,complaint_year,next_pending_event,offense_date,sentencing,final_disposition,unit,event_of_final_dispo,drug,drug_patient,drug_res,full,incar,incar_county,incar_life,incar_prison,incar_local,prob,prob_formal,prob_sum,prog,prog_child,prog_dv,work,work_furl,work_pub,work_vol
204,Narcotics,Central,,Preliminary Exam - Continued,CD255076,VC20001(b)(2),,2014.0,Preliminary Exam,2014-02-10 00:00:00.000000,,,Narcotics,,,,,,,,,,,,,,,,,,,,
205,Superior Court,Central,VC20001(b)(2),Preliminary Exam Readiness - Pled Guilty Felony,CD255238,VC20001(b)(2),,2014.0,Sentencing Hearing,2013-12-22 00:00:00.000000,,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,,,,,,,,,,,,,,,
206,Superior Court,Central,,Preliminary Exam Readiness - Continued,CD255297,VC23153(a),alcohol,2014.0,Preliminary Exam Readiness,2014-04-06 00:00:00.000000,,,Pre-Trial,,,,,,,,,,,,,,,,,,,,
207,Superior Court,Central,,Preliminary Exam Readiness - Continued,CD255304,VC23153(a),alcohol,2014.0,Preliminary Exam Readiness,2014-04-05 00:00:00.000000,,,Pre-Trial,,,,,,,,,,,,,,,,,,,,
208,Superior Court,Central,VC23153(b),Preliminary Exam Readiness - Pled Guilty Felony,CD255440,VC23153(a),alcohol,2014.0,Sentencing Hearing,2013-12-21 00:00:00.000000,,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,,,,,,,,,,,,,,,
209,Superior Court,Central,,Preliminary Exam Readiness - Continued,CD255688,PC187(a),,2014.0,Preliminary Exam,2014-04-19 00:00:00.000000,,,Superior Court,,,,,,,,,,,,,,,,,,,,
210,Superior Court,Central,,Felony Arraignment on Complaint - Pled Not Guilty,CD255856,VC23153(a),alcohol,2014.0,Preliminary Exam Readiness,2014-04-08 00:00:00.000000,,,Pre-Trial,,,,,,,,,,,,,,,,,,,,
211,Superior Court,Central,,Felony Arraignment on Complaint - Pled Not Guilty,CD255929,PC245(a)(1),deadly w,2014.0,Preliminary Exam Readiness,2014-05-01 00:00:00.000000,,,Pre-Trial,,,,,,,,,,,,,,,,,,,,
212,Superior Court,Central,,Preliminary Exam Readiness - Continued,CD256198,VC23153(a),alcohol,2014.0,Preliminary Exam Readiness,2014-05-21 00:00:00.000000,,,Pre-Trial,,,,,,,,,,,,,,,,,,,,
213,East County Branch,East County,PC245(c),Sentencing Hearing  - State Prison,CE288608,PC245(c),,2009.0,,2009-02-28 00:00:00.000000,State Prison: 5 Years - SB618,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,1825,,,1825,,,,,,,,,,,
214,East County Branch,East County,"VC23153(a), alcohol",Probation Modification Hearing - Denied,CE289074,VC23153(a),alcohol,2009.0,,2009-02-16 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 5 Years - Work Furlough: 180 Days,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,180,,,,180,1825,1825,,,,,180.0,180.0,,
215,East County Branch,East County,VC20001(a),Misdemeanor Readiness Hearing - Pled Guilty Misdemeanor - Immediate Sentencing,CE291123,VC20001(a),,2009.0,,2009-04-24 00:00:00.000000,Probation Summary: 3 Years - Volunteer Work Service: 56 Hours,Pled Guilty Misdemeanor - Immediate Sentencing,East County Branch,Misdemeanor Readiness Hearing,,,,,,,,,,1095,,1095,,,,2.3333333333333335,,,2.3333333333333335
216,East County Branch,East County,"VC23153(a), alcohol",Order to Show Cause - Admits - Revoked- Reinstated,CE291715,VC23153(a),alcohol,2009.0,,2009-06-15 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,180,,,,180,1095,1095,,,,,,,,
217,East County Branch,East County,"VC23153(a), alcohol",Sentencing Hearing  - State Prison,CE292627,VC23153(a),alcohol,2009.0,,2009-04-06 00:00:00.000000,State Prison: 4 Years: 4 Months,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,1582,,,1582,,,,,,,,,,,
218,East County Branch,East County,VC20001(a),Sentencing after Revocation - Probation Reinstated,CE293149,VC20001(a),,2009.0,,2009-07-31 00:00:00.000000,Probation Summary: 5 Years,Pled Guilty Misdemeanor - Immediate Sentencing,East County Branch,Preliminary Exam,,,,,,,,,,1825,,1825,,,,,,,
219,East County Branch,East County,"VC23153(a), alcohol",Restitution Status Review Hearing - Restitution Set,CE293499,VC23153(a),alcohol,2009.0,,2009-08-13 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,180,,,,180,1095,1095,,,,,,,,
220,East County Branch,East County,VC20001(a),Sentencing after Revocation - State Prison,CE294288,VC20001(a),,2009.0,,2009-08-25 00:00:00.000000,Local Custody: 240 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam,,,,,240,,,,240,1095,1095,,,,,,,,
221,East County Branch,East County,VC23153(b),Probation Modification Hearing - Granted,CE294301,VC23153(a),alcohol,2009.0,,2009-09-13 00:00:00.000000,Local Custody: 270 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,270,,,,270,1825,1825,,,,,,,,
222,East County Branch,East County,VC20001(a),Order to Show Cause - Admits - Revoked- Reinstated,CE295095,VC20001(a),,2009.0,,2009-09-04 00:00:00.000000,Local Custody: 545 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,545,,,,545,1825,1825,,,,,,,,
223,East County Branch,East County,PC191.5(a),Restitution Hearing  - Restitution Set,CE296241,PC191.5(a),,2009.0,,2009-11-21 00:00:00.000000,State Prison: 11 Years,"Found Guilty, Felony",East County Branch,Felony Jury Trial,,,,,4015,,,4015,,,,,,,,,,,
224,East County Branch,East County,VC20002(a),Misdemeanor Readiness Hearing - Pled Guilty Misdemeanor - Immediate Sentencing,CE296384,VC20001(a),,2009.0,,2009-11-30 00:00:00.000000,Probation Summary: 3 Years - Public Work Service: 7 Days,Pled Guilty Misdemeanor - Immediate Sentencing,East County Branch,Misdemeanor Readiness Hearing,,,,,,,,,,1095,,1095,,,,7.0,,7.0,
225,East County Branch,East County,VC23152(a),Sentencing Hearing  - Probation Denied,CE297074,VC23153(a),alcohol,2009.0,,2009-12-26 00:00:00.000000,Local Custody: 180 Days,Pled Guilty Felony,East County Branch,Preliminary Exam,,,,,180,,,,180,,,,,,,,,,
226,East County Branch,East County,VC10851(a),Sentencing Hearing  - State Prison,CE297219,PC459,,2010.0,,2010-01-05 00:00:00.000000,State Prison: 3 Years: 8 Months - SB618,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,1338,,,1338,,,,,,,,,,,
227,East County Branch,East County,PC415(2),Restitution Hearing  - Other (see note),CE298410,VC20001(a),,2010.0,,2010-01-17 00:00:00.000000,Probation Summary: 3 Years - Fine,Pled Guilty Misdemeanor,East County Branch,Misdemeanor Jury Trial,,,,,,,,,,1095,,1095,,,,,,,
228,East County Branch,East County,VC23152(a),FTA/AOW Hearing - Other (see note),CE298688,VC23153(a),alcohol,2010.0,,2010-02-23 00:00:00.000000,Local Custody: 8 Days - Probation Summary: 5 Years - Public Work Service: 30 Days,"Found Guilty, Misdemeanor",East County Branch,Felony Jury Trial,,,,,8,,,,8,1825,,1825,,,,30.0,,30.0,
229,East County Branch,East County,VC20001(a),Further Proceedings - Action Taken,CE298697,VC20001(a),,2010.0,,2010-02-21 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 3 Years - Public Work Service: 20 Days,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,180,,,,180,1095,1095,,,,,20.0,,20.0,
230,East County Branch,East County,VC23153(b),Felony Other Motion Hearing - Denied,CE301285,VC23153(a),alcohol,2010.0,,2010-05-04 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,365,,,,365,1825,1825,,,,,,,,
231,East County Branch,East County,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CE301286,VC23153(a),combine,2010.0,,2010-03-25 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,180,,,,180,1095,1095,,,,,,,,
232,East County Branch,East County,"VC23153(a), combine",Sentencing Hearing  - Probation Granted Summary,CE302216,VC23153(a),combine,2010.0,,2010-05-16 00:00:00.000000,Probation Summary,Pled Guilty Misdemeanor - Immediate Sentencing,East County Branch,Preliminary Exam Readiness,,,,,,,,,,,,,,,,,,,
233,East County Branch,East County,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CE302906,VC20001(a),,2010.0,,2010-07-13 00:00:00.000000,Local Custody: 240 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,240,,,,240,1095,1095,,,,,,,,
234,East County Branch,East County,"VC23153(a), alcohol",Felony Other Motion Hearing - Granted,CE303204,VC23153(a),alcohol,2010.0,,2010-07-25 00:00:00.000000,Local Custody: 90 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,90,,,,90,1825,1825,,,,,,,,
235,Family Protection,East County,PC273.5(a),Sentencing after Revocation - State Prison,CE303721,PC273.5(a),,2010.0,,2010-08-04 00:00:00.000000,Local Custody: 240 Days - Probation Formal: 5 Years,Pled Guilty Felony,Domestic Violence,Felony Jury Trial,,,,,240,,,,240,1825,1825,,,,,,,,
236,East County Branch,East County,VC2800.2,Sentencing after Revocation - State Prison,CE304919,VC2800.3(a),,2010.0,,2010-09-24 00:00:00.000000,State Prison: 3 Years: 4 Months - Local Custody: 365 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam,,,,,1582,,,1217,365,1095,1095,,,,,,,,
237,East County Branch,East County,"VC23153(a), alcohol",Sentencing Hearing  - State Prison,CE305564,VC23153(a),alcohol,2010.0,,2010-10-16 00:00:00.000000,State Prison: 7 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,2555,,,2555,,,,,,,,,,,
238,East County Branch,East County,VC20001(a),Probation Modification Hearing - Granted,CE305951,VC20001(a),,2010.0,,2010-10-25 00:00:00.000000,Local Custody: 180 Days - Probation Summary: 3 Years - Volunteer Work Service: 80 Hours,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,180,,,,180,1095,,1095,,,,3.3333333333333335,,,3.3333333333333335
239,East County Branch,East County,VC23152(a),Order to Show Cause - Admits - Revoked- Reinstated,CE305970,VC23153(a),alcohol,2010.0,,2010-10-15 00:00:00.000000,Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,,,,,,1825,1825,,,,,,,,
240,East County Branch,East County,,Preliminary Exam - Dismissed Other (see note),CE306707,VC23153(a),drugs,2010.0,,2010-12-02 00:00:00.000000,,Dismissed Other (see note),East County Branch,Preliminary Exam,,,,,,,,,,,,,,,,,,,
241,East County Branch,East County,,Felony Readiness Conference - Dismissed (IFJ / IOE),CE307226,VC23153(a),alcohol,2010.0,,2010-11-24 00:00:00.000000,,Dismissed (IFJ / IOE),East County Branch,Felony Readiness Conference,,,,,,,,,,,,,,,,,,,
242,East County Branch,East County,VC20001(a),Restitution Status Review Hearing - Restitution Set,CE307693,VC20001(a),,2011.0,,2011-01-09 00:00:00.000000,Local Custody: 120 Days - Probation Summary: 3 Years,Pled Guilty Misdemeanor - Immediate Sentencing,East County Branch,Preliminary Exam,,,,,120,,,,120,1095,,1095,,,,,,,
243,East County Branch,East County,"VC23153(a), drugs",Order to Show Cause - Admits - Revoked- Immediate Sentencing,CE308000,VC23153(a),alcohol,2011.0,,2010-12-02 00:00:00.000000,Local Custody: 169 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Felony Jury Trial,,,,,169,,,,169,1825,1825,,,,,,,,
244,East County Branch,East County,VC20001(b)(2),Further Proceedings - Action Taken,CE308786,VC20001(a),,2011.0,,2010-12-29 00:00:00.000000,Probation Summary: 3 Years - Volunteer Work Service: 160 Hours,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,,,,,,1095,,1095,,,,6.666666666666667,,,6.666666666666667
245,East County Branch,East County,VC2800.2(a),Sentencing Hearing  - State Prison,CE309278,VC2800.2(a),,2011.0,,2011-03-06 00:00:00.000000,State Prison: 7 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,2555,,,2555,,,,,,,,,,,
246,East County Branch,East County,VC23153(b),Probation Modification Hearing - Granted,CE309730,VC23153(a),alcohol,2011.0,,2011-03-23 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,180,,,,180,1825,1825,,,,,,,,
247,East County Branch,East County,VC20001(a),Sentencing after Revocation - Probation Reinstated,CE310281,VC20001(a),,2011.0,,2011-03-18 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,180,,,,180,1095,1095,,,,,,,,
248,East County Branch,East County,VC20001(a),Probation Modification Hearing - Denied,CE311542,VC20001(a),,2011.0,,2011-04-24 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,180,,,,180,1095,1095,,,,,,,,
249,East County Branch,East County,VC20001(b)(2),Probation Modification Hearing - Granted,CE312186,VC20001(b)(2),,2011.0,,2011-06-18 00:00:00.000000,Local Custody: 120 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,120,,,,120,1825,1825,,,,,,,,
250,East County Branch,East County,"VC23153(a), alcohol",Felony Other Motion Hearing - Granted,CE312604,VC23153(a),alcohol,2011.0,,2011-07-03 00:00:00.000000,Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,,,,,,1825,1825,,,,,,,,
251,East County Branch,East County,"PC245(a)(1), force",Restitution Hearing  - Continued,CE312959,VC20001(a),,2011.0,,2011-07-18 00:00:00.000000,Probation Summary: 3 Years,Pled Guilty Misdemeanor,East County Branch,Felony Readiness Conference,,,,,,,,,,1095,,1095,,,,,,,
252,East County Branch,East County,VC23153(b),Probation Modification Hearing - Granted,CE314107,VC23153(a),alcohol,2011.0,,2011-08-27 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Felony Jury Trial,,,,,365,,,,365,1825,1825,,,,,,,,
253,East County Branch,East County,VC20001(a),Restitution Hearing  - Continued,CE314437,VC20001(a),,2011.0,,2011-09-08 00:00:00.000000,Local Custody: 180 Days - Probation Summary: 5 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,180,,,,180,1825,,1825,,,,,,,
254,East County Branch,East County,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CE315167,VC20001(a),,2011.0,,2011-09-18 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,365,,,,365,1095,1095,,,,,,,,
255,Family Protection,East County,PC368(b)(1),Probation Modification Hearing - Granted,CE315433,PC368(b)(1),,2011.0,,2011-10-14 00:00:00.000000,Local Custody: 259 Days - Probation Formal: 3 Years,Pled Guilty Felony,Elder Abuse,Arraignment on Information,,,,,259,,,,259,1095,1095,,,,,,,,
256,East County Branch,East County,VC20001(a),Sentencing Hearing  - Pled Guilty Misdemeanor,CE315524,VC20001(a),,2011.0,,2011-08-25 00:00:00.000000,Probation Summary: 3 Years,Pled Guilty Misdemeanor,East County Branch,Felony Readiness Conference,,,,,,,,,,1095,,1095,,,,,,,
257,East County Branch,East County,,Felony Jury Trial - Dismissed (IFJ / IOE),CE315638,VC20001(a),,2011.0,,2011-10-18 00:00:00.000000,,Dismissed (IFJ / IOE),East County Branch,Felony Jury Trial,,,,,,,,,,,,,,,,,,,
258,East County Branch,East County,VC20001(a),Sentencing Hearing  - State Prison,CE315881,VC23153(a),alcohol,2011.0,,2011-09-15 00:00:00.000000,State Prison: 2 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,730,,,730,,,,,,,,,,,
259,East County Branch,East County,,Felony Arraignment on Complaint - Dismissed (IFJ / IOE),CE317256,VC20001(a),,2011.0,,2011-12-21 00:00:00.000000,,Dismissed (IFJ / IOE),East County Branch,Felony Arraignment on Complaint,,,,,,,,,,,,,,,,,,,
260,East County Branch,East County,"VC23153(a), alcohol",Sentencing Hearing  - State Prison,CE317562,VC23153(a),alcohol,2012.0,,2012-01-08 00:00:00.000000,State Prison: 16 Months,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,486,,,486,,,,,,,,,,,
261,East County Branch,East County,VC20002(a),Sentencing Hearing  - Probation Granted Summary,CE317900,VC23153(a),combine,2012.0,,2012-01-22 00:00:00.000000,Probation Summary: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam,,,,,,,,,,1095,,1095,,,,,,,
262,East County Branch,East County,VC20001(b)(2),Further Proceedings - Action Taken,CE318054,VC20001(b)(2),,2012.0,,2011-12-30 00:00:00.000000,Local Custody: 10 Days - Probation Summary: 3 Years - Public Work Service: 10 Days,Pled Guilty Misdemeanor,East County Branch,Felony Readiness Conference,,,,,10,,,,10,1095,,1095,,,,10.0,,10.0,
263,East County Branch,East County,"VC23153(a), alcohol",Order to Show Cause - Admits - Revoked- Reinstated,CE318190,VC23153(a),alcohol,2012.0,,2012-01-31 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,365,,,,365,1825,1825,,,,,,,,
264,East County Branch,East County,"VC23153(a), alcohol",Sentencing Hearing  - Probation Denied,CE318632,VC23153(a),alcohol,2012.0,,2012-02-16 00:00:00.000000,Local Custody: 248 Days,Pled Guilty Misdemeanor,East County Branch,Felony Readiness Conference,,,,,248,,,,248,,,,,,,,,,
265,East County Branch,East County,VC23153(b),Sentencing Hearing  - Probation Granted Summary,CE319189,VC23153(a),alcohol,2012.0,,2012-03-10 00:00:00.000000,Probation Summary: 5 Years,Pled Guilty Misdemeanor - Immediate Sentencing,East County Branch,Preliminary Exam Readiness,,,,,,,,,,1825,,1825,,,,,,,
266,East County Branch,East County,VC23153(b),Probation Modification Hearing - Granted,CE319444,VC20001(a),,2012.0,,2012-03-21 00:00:00.000000,State Prison: 4 Years - Local Custody: 365 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,1825,,,1460,365,1825,1825,,,,,,,,
267,East County Branch,East County,,Affidavit Filed - Warrant Issued,CE319784,VC20001(a),,2012.0,,2010-11-24 00:00:00.000000,,,East County Branch,,,,,,,,,,,,,,,,,,,,
268,East County Branch,East County,VC20001(a),Restitution Hearing  - Continued,CE320278,VC20001(a),,2012.0,,2012-04-18 00:00:00.000000,Local Custody: 208 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,208,,,,208,1095,1095,,,,,,,,
269,East County Branch,East County,VC20001(a),Sentencing Hearing  - Probation Denied,CE320919,VC20001(a),,2012.0,,2012-05-19 00:00:00.000000,Local Custody: 180 Days - Volunteer Work Service: 150 Hours,Pled Guilty Felony,East County Branch,Felony Jury Trial,,,,,180,,,,180,,,,,,,6.25,,,6.25
270,East County Branch,East County,VC20001(b)(2),Sentencing Hearing  - Probation Granted Formal,CE321560,VC20001(b)(2),,2012.0,,2012-05-11 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,365,,,,365,1095,1095,,,,,,,,
271,East County Branch,East County,"VC23153(a), alcohol",Sentencing Hearing  - Probation Granted Summary,CE322279,VC23153(a),alcohol,2012.0,,2012-07-12 00:00:00.000000,Probation Summary: 5 Years,Pled Guilty Misdemeanor - Immediate Sentencing,East County Branch,Preliminary Exam Readiness,,,,,,,,,,1825,,1825,,,,,,,
272,East County Branch,East County,"VC23153(a), alcohol",Sentencing Hearing  - State Prison,CE322280,VC23153(a),alcohol,2012.0,,2012-07-14 00:00:00.000000,State Prison: 4 Years: 4 Months,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,1582,,,1582,,,,,,,,,,,
273,Family Protection,East County,VC20002(a),Sentencing Hearing  - Probation Granted Summary,CE323010,PC245(a)(1),deadly w,2012.0,,2012-04-28 00:00:00.000000,Probation Summary: 3 Years - Volunteer Work Service: 50 Hours,Pled Guilty Misdemeanor,Domestic Violence,Felony Jury Trial,,,,,,,,,,1095,,1095,,,,2.0833333333333335,,,2.0833333333333335
274,East County Branch,East County,VC23152(a),Sentencing Hearing  - State Prison,CE323064,VC23152(a),,2012.0,,2012-07-15 00:00:00.000000,State Prison: 8 Years: 8 Months,Pled Guilty Felony,East County Branch,Felony Jury Trial,,,,,3163,,,3163,,,,,,,,,,,
275,East County Branch,East County,"VC23153(a), alcohol",Probation Modification Hearing - Granted,CE324135,VC23153(a),alcohol,2012.0,,2012-09-23 00:00:00.000000,Local Custody: 270 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,270,,,,270,1825,1825,,,,,,,,
276,East County Branch,East County,"PC245(a)(1), deadly w",Restitution Status Review Hearing - Restitution Set,CE324461,PC245(a)(1),deadly w,2012.0,,2012-09-30 00:00:00.000000,State Prison: 4 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,1460,,,1460,,,,,,,,,,,
277,East County Branch,East County,VC23153(b),Probation Modification Hearing - Continued,CE324466,VC23153(a),alcohol,2012.0,,2012-09-06 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,180,,,,180,1825,1825,,,,,,,,
278,East County Branch,East County,"VC23153(a), alcohol",Probation Modification Hearing - Denied,CE324609,VC23153(a),alcohol,2012.0,,2012-10-10 00:00:00.000000,State Prison: 3 Years - Local Custody: 90 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,1185,,,1095,90,1825,1825,,,,,,,,
279,East County Branch,East County,"HS11352(a), transport",Felony Appeal by the Defense - Initial Filing,CE326772,VC2800.2(a),,2013.0,,2013-01-08 00:00:00.000000,State Prison: 6 Years,"Found Guilty, Felony",East County Branch,Felony Jury Trial,,,,,2190,,,2190,,,,,,,,,,,
280,East County Branch,East County,VC20001(a),Further Proceedings - Action Taken,CE327922,VC20001(a),,2013.0,,2013-02-21 00:00:00.000000,Local Custody: 90 Days - Probation Summary: 3 Years - Public Work Service: 20 Days,Pled Guilty Felony,East County Branch,Preliminary Exam,,,,,90,,,,90,1095,,1095,,,,20.0,,20.0,
281,East County Branch,East County,"PC245(a)(1), deadly w",Probation Modification Hearing - Granted,CE329332,PC245(a)(1),deadly w,2013.0,,2013-03-06 00:00:00.000000,Local Custody: 300 Days - Probation Formal: 3 Years,"Found Guilty, Felony",East County Branch,Felony Jury Trial,,,,,300,,,,300,1095,1095,,,,,,,,
282,East County Branch,East County,VC20002(a),Sentencing Hearing  - Probation Granted Summary,CE329821,VC20001(a),,2013.0,,2013-05-06 00:00:00.000000,Probation Summary: 3 Years,Pled Guilty Misdemeanor,East County Branch,Misdemeanor Readiness Hearing,,,,,,,,,,1095,,1095,,,,,,,
283,East County Branch,East County,VC20001(a),Sentencing Hearing  - Term of Imprisonment in County Jail,CE330148,VC20001(a),,2013.0,,2013-05-09 00:00:00.000000,Prison Served in County Jail: 5 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,1825,1825,,,,,,,,,,,,,
284,East County Branch,East County,VC2800.4,Sentencing Hearing  - Probation Granted Formal,CE330215,VC2800.2(a),,2013.0,,2013-05-19 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,180,,,,180,1095,1095,,,,,,,,
285,East County Branch,East County,VC2800.2(a),Sentencing Hearing  - State Prison,CE331180,VC2800.2(a),,2013.0,,2013-06-21 00:00:00.000000,State Prison: 7 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,2555,,,2555,,,,,,,,,,,
286,East County Branch,East County,VC20001(a),Sentencing Hearing  - Probation Granted Summary,CE331898,VC23152(a),,2013.0,,2013-06-15 00:00:00.000000,Local Custody: 365 Days - Probation Summary: 5 Years,Pled Guilty Misdemeanor,East County Branch,Preliminary Exam Readiness,,,,,365,,,,365,1825,,1825,,,,,,,
287,East County Branch,East County,VC20001(b)(2),Sentencing Hearing  - State Prison,CE332679,VC20001(b)(2),,2013.0,,2013-07-27 00:00:00.000000,State Prison: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,1095,,,1095,,,,,,,,,,,
288,East County Branch,East County,,Felony Readiness Conference - Trial Date Confirmed,CE334136,VC23153(a),combine,2013.0,Felony Jury Trial,2013-09-26 00:00:00.000000,,,East County Branch,,,,,,,,,,,,,,,,,,,,
289,East County Branch,East County,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CE334291,VC20001(a),,2013.0,,2013-10-03 00:00:00.000000,Local Custody: 270 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,270,,,,270,1825,1825,,,,,,,,
290,East County Branch,East County,VC2800.4,Restitution Status Review Hearing - Continued,CE334476,PC215(a),,2013.0,Restitution Status Review Hearing,2013-10-09 00:00:00.000000,State Prison: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam,,,,,1095,,,1095,,,,,,,,,,,
291,East County Branch,East County,VC20001(a),Sentencing Hearing  - Probation Granted Summary,CE334683,VC20001(a),,2013.0,,2013-09-17 00:00:00.000000,Probation Summary: 3 Years - Public Work Service: 10 Days,Pled Guilty Misdemeanor,East County Branch,Preliminary Exam,,,,,,,,,,1095,,1095,,,,10.0,,10.0,
292,East County Branch,East County,,Felony Other Motion Hearing - Granted,CE335020,PC192(c)(1),lawful act,2013.0,Felony Readiness Conference,2013-10-27 00:00:00.000000,,,East County Branch,,,,,,,,,,,,,,,,,,,,
293,East County Branch,East County,VC2800.3(a),Sentencing Hearing  - State Prison,CE335285,VC2800.3(a),,2013.0,,2013-11-04 00:00:00.000000,State Prison: 9 Years,Pled Guilty Felony,East County Branch,Preliminary Exam,,,,,3285,,,3285,,,,,,,,,,,
294,East County Branch,East County,VC23152(b),Sentencing Hearing  - Probation Granted Summary,CE335519,VC23153(a),alcohol,2013.0,,2013-11-13 00:00:00.000000,Probation Summary: 5 Years,Pled Guilty Misdemeanor,East County Branch,Preliminary Exam Readiness,,,,,,,,,,1825,,1825,,,,,,,
295,East County Branch,East County,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CE335940,VC20001(a),,2013.0,,2013-11-28 00:00:00.000000,Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam,,,,,,,,,,1095,1095,,,,,,,,
296,East County Branch,East County,,Preliminary Exam - Bound Over,CE337220,VC20001(a),,2014.0,Arraignment on Information,2014-01-18 00:00:00.000000,,,East County Branch,,,,,,,,,,,,,,,,,,,,
297,East County Branch,East County,,Preliminary Exam Readiness - Felony Preliminary Exam Hearing Confirmed,CE337490,VC20001(b)(2),,2014.0,Preliminary Exam,2014-01-06 00:00:00.000000,,,East County Branch,,,,,,,,,,,,,,,,,,,,
